#transposed from inter/CHT.txt
017919	01788D
019AAF	0180AE
018956	018884
0158E9	01575D
0195C6	01677F
018FA6	01529E
015E6B	015E2E
015BF6	015B9D
015831	0162A5
015E63	015E01
016583	016BD9
016A19	016807
019336	018868
015F46	01522B
018514	01535C
0188DC	018865
017E94	01624D
018836	018695
0171E6	01707F
015C64	015C42
016519	016400
018B92	018C17
01995E	01998B
017E8F	017F20
0161FA	015FCF
01511F	01507F
015EE0	015382
015FB9	015F7B
015875	015C18
01896F	01886C
017A31	0179F0
0161F2	0160E9
019072	018FDF
01885D	0151B2
01919C	014E11
019F63	0151FA
01790E	017840
018655	015904
0189F8	0189E6
018FAD	018F9E
018070	01806A
0153E2	014E1B
0164D4	0162C5
0181BD	0180C6
015C0E	015BFC
0171C8	01706F
019127	019093
016575	01654C
017CF4	017C74
01905E	019012
019EDE	0170B9
016FB1	016DC0
0196FB	017535
019F15	0151AC
019B25	016597
017368	0172EC
015678	015428
01596A	01593A
0158AE	015815
015152	01513F
01792C	0177FE
017BC4	018303
0198DB	0198DE
0158B3	01575F
01596E	01594B
017CDE	017CAA
019CF3	0151E4
01819A	0180A4
015A66	015987
015FA9	01590D
018907	01590D
0184CB	0176D6
014E7E	015E72
015E79	015E72
018D95	018D76
01500B	014E2A
01978F	015DE9
016E9D	016C9F
0169CB	016784
018CFC	018D2D
016996	018C37
019867	01987E
0198B3	01522E
0195DC	015173
0189C0	0189C2
016AC3	0167DC
016F22	016C49
01865F	0153F7
0195A4	015408
018F5F	018F70
015F8C	01540E
019B0D	0180E1
0158FA	0158F6
016EEC	016CAA
018B77	0162A4
015283	015212
0161F7	016000
0158DE	01574F
016B61	016B22
0174B0	0173AF
019084	018FD8
018FF4	0156DE
015925	014F19
017372	0183B7
017A6B	0183B7
0164CA	0151FB
016483	0151FB
019DC4	019E21
017A4D	0179EF
016975	016781
01969B	019645
017E7C	017EE7
0150A2	015BB6
0150F9	014EF7
018271	018270
016BB2	016B7C
017E6D	018327
0163C0	0162E3
019E78	017877
018266	018230
018591	0159DC
016F3F	016D46
0169F3	016868
01596C	015956
018B1B	018BB2
0191A4	019171
0181A0	0180F6
01968E	019636
017664	017596
016F54	016D01
0185C9	01501F
0150C5	014EC5
019A5A	0160CA
017AF6	017ADE
01820A	0165E7
015287	015267
0164DA	01636E
0161FC	0160E7
016372	015377
01958B	015F00
01524B	01514B
0158BE	0157A6
0161C7	016073
018A87	015938
01584A	015757
018667	014E8F
01774F	0156F0
0181D8	01814A
01881F	018721
01862D	015170
016514	0162E6
016B04	01680F
01721B	0170C2
017E8D	017D2F
0158D8	015792
01985E	017C7B
0188CF	0191CC
0179AE	01793C
0196B8	0196B6
0196B7	0196B6
017C3E	015E18
01806F	018054
016190	01601C
017149	0170BC
017DF4	017EC3
017CE7	017CAE
017642	017597
01907C	018FBD
0177AD	014E86
017375	01730E
0181E8	014E34
019130	0190BB
015DBA	015CAD
015EEC	015E90
018606	0182A6
017210	017089
019678	019646
019A62	019A74
014E82	014E71
019EBC	014E48
019EBD	014E48
019EF4	019709
0177C7	018499
016FDB	018499
0161DE	018499
015922	0168A6
019EB5	019762
015EDF	015E99
016EC5	01706D
01884A	018511
01755D	014EA9
0160F1	01607C
018166	018111
0164EC	0162DF
0191C0	01917F
017627	01759F
0176E4	0176D8
0195E2	018F9F
01860B	0182F9
016191	0151ED
0164B2	016251
0150D5	014EC6
016A38	016734
01555F	01542F
015553	01542F
017C64	017B7E
0197C6	015343
01727D	017275
017E34	017EA4
017E96	017EA4
017AC5	017A8D
017ACA	017A83
015BE2	015BDD
016176	015E86
0174CA	01743C
0197A6	0179CB
019EAF	0166F2
016B0A	016743
0152F8	01529D
0178BA	01786E
018B93	018BA9
0164FE	016270
0171B1	0170ED
018A8D	018BA4
017051	016D12
015098	014F1E
0155AA	014E27
016383	01626B
016F80	016DA9
0166EC	016652
0150B7	014F24
016368	01820D
01700B	016C88
018072	0158F0
0152DD	0180DC
016FD5	016E7F
015BE6	015B9E
019069	019002
0152E2	0152BF
017378	01517D
0166F8	014E66
018853	01672F
016A39	016811
015E25	015E05
019B06	01677E
018607	0182CF
0156CC	0182CF
0196D6	01867D
0196A8	01968F
0181FA	0153F0
016AAF	0153F0
0198B1	0153F0
01614B	016001
0158C7	01575B
017F4E	01575B
015606	0153F9
018B04	018A8A
019AD4	014F53
017CF6	017C9C
019435	0194C1
01807D	01542C
015EF3	015385
01982D	015934
015716	0156FE
015857	016D82
015718	0156E2
017CF0	0156E2
016A62	01692D
017AAA	016D3C
01896A	01889C
017DB2	017F51
01885B	01536B
017A69	017A33
0152D9	0152A1
019727	0196FE
0172A7	01727A
017FD2	014E60
014FC2	017CFB
017E6B	017CFB
016232	01620F
018766	01867E
015687	015413
019E79	0154B8
01986F	01663E
0161B2	015BAA
017E23	0153BF
0197FF	0154CD
0156AE	015411
015354	01534F
018105	0180C1
01893B	014EB5
0191C1	018845
018208	015174
019B1A	01987B
0161F8	0160AC
019078	019009
0193C7	0165CB
0158D3	01538B
019E7D	0176D0
01967D	019633
01990A	01517B
017662	0175D2
016A23	016837
0169D8	016837
019470	0194A5
0185E5	01836F
01723A	017237
018449	0153F6
0191AB	01533B
015104	014EBF
0161B6	015FC6
0161C9	015E94
017670	0175C8
0164C1	0162E5
0150AD	014F63
018E34	018E0A
016182	015FE7
01512A	014F18
0190F5	0190AE
019918	014F59
0179A6	015FA1
017C72	015401
019B31	0190C1
018B7D	018A89
016DF5	016E0A
015712	0156ED
019060	018FDC
019858	01613F
018E8D	018DC3
01904B	018FD0
01919E	01915D
019196	01915D
0196DC	016742
0181DF	018D43
0181D3	018D43
019AD2	01810F
018D1C	01810F
018D13	01810F
01947F	0151FF
0168D7	0167A3
017AC8	017076
019F4B	01658B
016C08	016BE1
016230	016218
018D99	018D75
01647A	016298
019019	018FD9
015FB5	015F81
017665	0175C7
018B49	018BC1
0196BB	0153EA
017957	0153EA
018879	0153EA
017DFB	0181F4
0188FD	015236
019418	01949F
01937E	01949F
01816B	0180BF
017A2E	0179CD
01773E	014F17
018846	014F17
01665D	01663C
017843	016731
0171ED	0170DB
017BC9	017B51
01838A	015E84
016A01	016869
01599D	015986
0188DD	0188C5
0158EF	0158EE
0172C0	0172B6
016E96	0151C6
0151D6	0151C6
016FC1	016D4A
017E3D	01603B
01947D	0194BB
01611B	017231
017F77	017F62
015099	015907
018C9D	018D1D
017B46	017B14
017562	016BD5
01908A	018FB9
018CD3	015BBE
0153C3	0153C2
015009	014ED3
017523	014EA7
019577	01957F
015617	015C1D
018ECA	018F66
019F52	019F7F
0187F2	01866B
0182BB	01520D
015F9E	014ECE
017AC4	017A9C
019054	018FBE
015E36	015E26
0155AE	015355
017576	015F53
015679	015F53
019EE8	01515A
016771	014E1C
0152D5	0152A8
0165B7	0165AD
015C0D	015BF9
01968A	01961F
01723E	015C14
01767C	0153D1
019AEE	0153D1
018C50	014E30
0198A8	0198CE
015CA1	015188
015EE3	015E7F
016B78	015F52
019F9C	019F9F
01570B	0156FD
01904E	018FC7
0183EF	01534E
01756B	01753B
01532F	016C47
015F59	016C47
016703	014F1A
015E7E	0151E0
01593E	015939
016214	01620B
0176E3	0176D1
01898B	0189C1
0185A6	018350
015C07	015C06
017BC0	018282
0176E1	015C3D
015118	015C3D
019032	018FDB
018209	014E3E
016BBC	0158F3
016BBB	0158F3
014F86	016765
016A02	014E50
0196E2	0179BB
016B77	015386
0166C6	015386
019E97	014E3D
015169	014E24
019748	017075
015289	015218
019F8D	019F99
015A41	015A04
0176E7	015362
01865C	01864F
019E75	015364
016EF7	015364
019304	015F55
019332	015F55
01616E	018651
014F96	014ED1
017F85	017F57
0199AC	019A6C
018CB7	014E70
018CE3	015356
019EA5	019EA6
019580	0195E8
019EFD	019EFE
0196E3	0196BE
019CE5	019E1F
018076	018042
015BE7	015B81
015BDC	015B81
018FB2	01519C
019F4A	019F50
018C48	015C82
016C23	016C14
019077	018FC1
0150C9	014F65
0155AC	014E54
0189AA	014EB2
017AAE	017A77
015340	01533A
0155C7	01556C
016BBA	016740
015BE9	015BA1
018056	015723
015E2B	015E08
016642	0165F6
0158FD	015BFF
015900	015BFF
015C6C	015C5E
0196D9	0153CC
018085	018083
016B72	015C81
015D57	015C81
015B6B	015B59
01689D	016761
01842C	014E07
0170BA	014E3A
0197CB	0197E6
0170CF	014E4C
017121	0165E0
01737B	01732E
019109	014E61
015BEB	015199
015C0B	015BFB
014E9E	014E9A
0156B4	014E25
0153AD	01538C
01582F	015C27
01696D	014E1A
019801	019875
017FA9	014E49
0185DD	01827A
01517F	01827A
019670	019634
0196B1	019690
017336	0172B9
019B5A	019C7C
018207	014E0E
0196F2	014E91
01912D	0190D1
0157F7	016267
018CEA	018D28
015C08	014E13
018A00	018BA0
0198DF	019963
017CF9	017E9F
016220	0153EA
0191D2	019485
0154BC	015459
01566F	0155F3
015B21	015AD2
019749	0153C6
0174A6	017477
0166D6	0166A7
0164FA	016446
01896C	016446
017F86	017F74
0143B1	0143AC
01618A	0160EB
018C9E	018D1E
015247	015219
018CA0	018D1F
018CA2	018D21
015504	015457
0154E1	015458
018CA1	018D22
0172FD	0172C8
018CAC	018D23
0153A0	015395
018CE2	018D24
018CEC	018D26
018CA9	018D29
018CB6	018D2C
016557	018D25
018CAF	018D2E
018CAA	018D2A
018CA7	018D2B
015075	014FA6
015074	014FA7
018CA8	018D27
018CAB	018D2F
016E2C	016D4B
016E5E	016D48
0160FB	01607B
018CB3	018D30
018CC1	018D32
018CB0	018D33
018CBB	018D39
019116	0190E7
0152DB	0152CB
015E40	015E27
018CBC	018D34
018CBA	018D36
018CBD	018D3B
018CE4	018D31
018CB4	018D35
0192C7	0194A1
018CB8	018D37
018CBF	018D38
018CC0	018D3A
019695	019668
016EB3	016DA2
018CC7	018D44
01798E	01796F
018CC8	018D3E
01640D	01635F
018D04	018D3D
015864	0157D9
016968	016862
0155CA	01551D
0155E9	015522
018CC5	018D45
015713	015706
018CCA	018D3C
018CC4	018D3F
018D10	018D46
018CC2	018D42
0150B5	01503A
018CC3	018D41
016F2C	016E0D
016163	0160EF
017463	017410
018CDA	018D49
015331	01532E
01645C	0163BC
016B9E	016B92
0152E9	0152DA
018CD1	018D48
015B30	015A74
015616	015567
018CD2	018D4A
015E58	015E3B
0150E8	01507E
019358	0194E1
017E3E	017EE9
016F70	016E83
016FFA	016E85
018CE1	018D53
016192	016126
0161A4	016124
018562	018489
018CEB	018D4D
018546	018487
01477C	01478D
018CE0	018D54
018CE7	018D55
01907A	019057
018CE6	018D4B
015674	0155B7
018CED	018D4C
018D16	018D4E
018CDE	018D4F
018CDC	018D50
018CD9	018D52
019396	019501
01994B	019988
018CF4	018D56
018D6C	018D6A
0178E7	01789B
018CF5	018D57
0181A9	01817B
018CFD	018D5B
014661	01464C
018D05	018D58
016516	016484
016A9F	0169DA
0156B6	015624
018CFA	018D5A
018CFB	018D59
017F4C	017F42
019428	019544
017C00	017BA6
019C02	019C97
017E93	017F28
0174D4	01748E
018075	018069
016AFB	016A31
018CFE	018D5C
017C23	017BD1
017028	016FD1
01766D	01763F
0161F6	0161D2
018D0B	018D5D
018C76	018C6E
018D08	018D60
019E1A	019E66
01737A	01736D
018D0A	018D5E
018D0F	018D62
018D0D	018D61
017669	01765E
016522	016512
017C5F	017C41
017E98	017F35
0174DA	0174D2
0181E2	0181DC
018D1B	018D63
018DB2	018DB1
018EA6	018E9C
016207	016206
016F77	016ED7
0184FD	01835C
0155F6	0154D4
017BF3	017B5A
018E55	018DF8
017C69	017B3E
015110	0150A7
016FF1	016EE8
0164EF	016448
015B2A	015AD4
017E7D	017F24
016BAF	016BA1
016AB3	0169DF
0181CF	018191
01944C	019554
019AD5	019ACC
019B22	019B13
016EF2	016E17
016158	0160E8
01647B	0163BA
019A42	019A96
016BFF	016BF5
01762E	017606
0178E3	01789C
017A47	01415F
017CDD	017CC1
015096	014F27
015275	01521B
016EC4	016CA7
016134	016006
0184BC	0182CD
016436	0162A2
0155C6	01545B
017197	01709D
017472	0173B1
0169CD	0167AA
016227	016217
017621	0175AE
019DAC	019E27
018259	018231
018E4C	018DC4
016EFB	016D50
0185A9	018428
0193DF	0194F2
015000	014F25
0160B5	016005
015E33	015E10
015F35	015F20
0168D6	0167A8
018CEC	018D26
018139	0180C0
016F32	016DA8
019C68	019CBF
018ECB	018F67
018ECD	01519B
018ECC	018F68
015399	01538D
019663	019635
015EAB	015E93
019023	018FDE
018ED2	018F69
018AE2	018BE8
019106	0190D3
018ED4	018F6B
018EDB	018F6D
01532D	015326
018F49	018F6C
018F2A	018F6E
0165AC	0165A9
018EDF	018F6F
016E3E	016D51
0160F2	01607D
017868	017817
018EFC	018F76
018EFB	018F72
018EF2	018F71
018EE4	018F77
018F15	018F7B
018F64	018F73
018EF8	018F74
0163EE	016325
018477	018364
018F62	018F79
018EEB	018F78
018EFA	018F7A
016F23	016D9F
01743F	0173F2
018F09	018F7D
0184EE	0183B2
018F03	018F83
018EFE	018F7C
018F0A	018F7E
018F05	018F82
018F4E	018F7F
016688	016655
016F38	016E10
01615A	0160ED
0176B8	0176B2
017489	01740F
018F14	018F85
018F12	018F84
018F1B	018F86
015879	015811
0156C0	01556D
015D84	015D2D
018932	0188E4
018933	0188E2
018F26	018F87
018F1E	018F8B
018F1F	018F8D
018F25	018F8A
0169E7	016920
018F1C	018F8E
0166AB	016682
018F1D	018F89
018F29	018F88
0193C8	0194FE
017FEC	017FDA
018F33	018F8F
018F3B	018F90
018F2F	018F91
018F38	018F93
018F42	016BC2
018F61	018F94
018F44	018F96
018F45	018F95
018F3E	018F97
018F3F	018206
018F46	018F98
016506	0164B5
019C31	019CA2
018F4D	018F99
0193E8	01933E
018F54	018F9A
019F54	019F80
015699	01556E
019F60	019F86
019F59	019F85
019F5F	019F83
019F61	019F84
019F5C	019F87
019F66	019F88
019F6C	019F89
019F6A	019F8A
019F77	019F8C
019F72	019F8B
018831	0186CA
018B05	018BCC
013473	013447
019112	0190B9
01396E	013918
019A36	019A7A
017E10	017EC9
0176BA	0176B1
018DA8	018D8B
0196DB	0196CF
0184EF	0182C1
017E31	017EB5
016A05	01679E
01616B	016002
018073	018038
01651B	0164BA
019479	019569
018EA5	018E7F
016FBE	013CE0
0195E5	0195FC
0164BB	01631E
015660	0154D2
0197C3	019791
016EEF	016EDE
019132	0190F8
01619A	0160EE
0195E1	019610
0164A3	0163B8
015F48	015F39
015B0B	015A75
0179AA	017985
016BAB	016B9A
017649	017605
0187EC	018749
017C1E	017BAA
018604	018572
0156C5	015181
0164CB	016321
016A94	016863
018960	0188C6
01943A	0194DB
018B9C	018C20
01513B	0150A5
019482	01954B
0151CD	0151BB
019673	019648
015D2C	015CBD
0168DF	01680B
018156	0180E8
019D87	019E2B
01615F	016078
017C6A	017C16
0161DF	01603C
01589C	015760
019087	018FE9
015F4C	015F25
017030	015F25
0179B0	017962
0174BD	0173BA
0158D0	0173BA
01737C	017315
016F51	016CFC
015EE2	015E9F
0164A5	0162E8
0193FA	01497D
017043	016CA3
018276	018273
017067	016EDF
018AF7	018BBD
016E22	016CA8
015D50	015C9A
016953	0167AB
01760B	0175AF
0198AF	0198D2
0178B8	01781C
0198B6	0198D3
0198B8	0198D4
0198BC	0198D5
0198C0	0198D7
0198C4	0198D8
0198C6	0198D9
01525B	01521A
016386	0139CF
015D17	015C97
017DB1	017EB2
0168E1	013B4E
0192FC	0194A2
01913A	01909D
0158D9	015739
0164F4	016269
017377	0172B7
017E8A	017EA9
0166E0	0165F7
017926	0177FF
015DCB	015CBF
019B2E	019604
016451	0163B4
015E57	015E3C
018195	018158
0187C8	018748
0164BE	01631D
015629	0154D7
019A4A	019A85
0171C1	0170E8
016A3A	016866
0166C4	016654
0193F5	0194E7
015AFF	015A73
0164D3	0139DF
01528A	01523D
019136	0190D0
015108	014FA9
016FAE	016D4D
018588	01835F
015672	0154D9
01736A	0172EF
017E6A	017ED8
0171F4	0170E9
016A9C	016867
0181BE	01810D
019C60	019C99
018B4F	018BA5
015630	0153FD
019951	019965
016A5F	01673A
0174A3	017391
0178EF	0177F6
0187E3	01866E
0190DF	0190CF
014FE0	014FA0
01965D	019655
016D79	016D43
01633E	01631F
0183A2	01835A
015CFD	015CE1
0172F9	0172ED
01611C	0160EC
017864	017856
0192CF	0194D7
019830	01988A
0186FA	0186F1
01761E	017617
017BCB	017BA7
015257	01522C
016DFA	016D45
01991E	01996F
017DAB	017EBF
016B98	016B8B
0168E7	016808
018CE4	018D31
0176DE	0176CF
019322	0194B1
017B8B	017B3A
016FFA	016E85
018E10	018DF5
016FEB	016EE5
0185CD	0184DD
015C37	015C34
016ABB	0169DB
018964	018934
017C43	017BEE
0183A7	0182CB
015CF4	015C98
01898E	0189C3
018996	0189C6
01898F	0189C4
0173FE	0173B0
016898	0167A7
018993	0189C5
0189BA	0189C9
01786F	01781A
018998	0189C7
0189BD	0189C8
015BEC	015BBD
018706	0186AC
0189AC	0189CA
017B67	017B15
0189A1	0189CB
0189BF	0189CC
01975A	019753
01652A	016405
01652C	0163FD
017E9C	017F06
017ABA	017AA5
016B16	016984
0189A6	0189CE
0189AF	0189CF
0189B2	0189D0
0189B7	0189D1
019AD6	019ACB
0197C9	0197AF
018523	01848B
0193D8	019535
016ADB	016809
016FDC	016D55
0185CE	018369
0171FC	0170EC
018D10	018D46
0174A1	01740E
016AF8	016989
016164	0160AB
016DF6	016D9E
01840A	0183B1
015CFD	015D03
015FA0	015F95
018CDA	018D49
01775E	017750
019338	0194FC
016FFC	016CFA
01720D	0170C1
016ADF	01680E
018F62	018F79
01792B	01783E
019460	0194C4
017055	016F13
017C6C	017BF1
01701D	016CA5
0158E2	01575C
0185F6	0182C8
0156A6	015456
016AEA	0167A5
017667	0175AC
019742	0196F3
015137	014FEA
019148	0190E6
019090	019026
019A6A	019A8A
019E1D	019E42
0191C3	01917E
019C7A	019CA1
015006	014FE9
015562	015521
018F1B	018F86
016EFF	016EE1
01779E	017792
019862	01989F
0187CE	0187A8
019B4E	019B49
0161E3	0161D1
018E63	018E52
016B1E	0168C2
01700F	016D4F
0196B4	019647
017027	016CF7
015BF5	015BA0
019F90	015E9E
0158DF	015784
01650F	0162E2
018622	01830F
0156A8	015499
0174CF	0173D1
016AF3	01680A
019F91	014DAE
0166E8	01663D
016727	0180E7
017931	01783B
018972	0188AD
01807E	01804B
019F94	019F9A
019F95	019F9B
017C60	017B3C
0150C2	01507B
016F0A	016E87
01851E	01848C
01645F	016402
015D81	015D5D
01560D	0155BD
017E37	017F15
015C62	015C61
016578	016570
016A13	01697C
01763B	017618
018938	01891B
017AB6	017AAD
01779C	014056
0193E4	019542
015C68	015C66
0187BB	01877C
017C0D	017BD3
01802C	018027
0185EA	0185AE
0164FB	0164DE
019ACF	019AC5
016FFE	016CF8
0158DA	015786
016AE8	01680C
018F64	018F73
0181DA	0180EA
019E15	019E2C
019871	019885
01826B	01823B
019C78	019C88
0164C4	0163B3
019E7A	019E7E
017C59	017B93
016FFE	016EE4
016504	016445
018AD6	018BBA
01502B	014F26
016DEA	016CA6
016384	0162A1
015707	0156F5
017DB8	017EB6
018F2A	018F6E
