01020003	C7D2
0102000B	D5C9
01020019	C0F6
0102001A	B2BB
01020024	B2A2
01020029	CDA1
01020066	D6D0
010200A0	E18A
010200DE	C0F1
010200F8	817B
01020107	C0D2
01020108	817A
01020121	CEE5
01020162	D9F1
01020169	CAEB
01020187	B0C2
0102018C	D3B9
010201B0	D8EB
010201BB	825C
010201DA	BCD7
010201FE	D0DD
01020201	819A
01020206	828B
01020208	81D5
0102020E	B3DE
01020213	C1A9
01020223	C0CF
01020229	82D0
01020255	CAB9
01020256	D9B0
0102026B	8255
0102026E	BEEB
01020293	B0F8
01020296	C0FD
010202A8	8351
010202A9	835D
010202AB	81F9
010202B1	BAF2
010202B3	B1E3
010202BE	EEA5
010202D2	C3FC
010202DB	C391
010202E3	D2D0
010202F1	8344
010202FC	D9B6
010202FF	8246
01020320	82E7
0102033C	D2DA
0102035F	BFC9
0102036C	D9BE
0102036E	8285
01020377	836B
0102037B	D9B1
010203A1	82C1
010203B2	82A4
010203BC	8347
010203D7	C1C5
010203EC	D9B7
0102041A	D9B3
0102041B	D9D8
01020427	838F
01020431	8289
01020433	8396
0102043F	DEB0
01020472	D9DD
0102047D	B3E4
01020486	B6F9
010204B0	E6D5
010204B1	C6A7
010204DB	8191
01020540	D8E8
01020545	D4D9
01020549	D1A8
0102054D	B9D9
01020575	BFBA
010205A0	B9C5
010205B8	83FB
010205E7	8440
01020621	C1DD
01020624	C0E4
01020632	B4F3
01020636	B7F1
01020652	DA52
01020675	BFDA
01020678	B8CA
01020692	B3DD
010206B3	8459
010206D2	D8DA
010206EC	D0CC
010206EE	8494
01020707	BFCC
01020713	CCDE
0102071F	8475
01020728	DBC0
01020738	BCC1
0102073A	C1D0
0102073E	D8E3
01020765	846C
01020790	8476
010207AB	BFCC
010207FD	849C
01020832	C1A6
0102086B	84D6
010208A4	9189
010208C1	C0CD
010208C3	84DF
010208D9	D1AE
010208DE	BEFC
010208E9	D4BC
010208F5	D9EB
0102092C	D8CE
01020971	D4C2
01020983	D8A6
01020984	BBDC
01020987	BAA5
01020993	D8A7
010209B6	B8EF
010209DE	D5D7
010209E8	BECC
010209E9	BBDA
010209EA	D8D5
01020A10	856E
01020A1C	8574
01020A2E	D8C6
01020A30	C5AE
01020A5F	B3BD
01020A6F	B4E6
01020A9E	D8C8
01020AA5	D4AD
01020AAA	8589
01020AEA	C1F9
01020B3B	B7EE
01020B56	B8D2
01020B5E	85AA
01020BA2	D3D2
01020BA6	D5D9
01020BAF	CCA8
01020BB7	BCAA
01020BC1	D7E3
01020BCD	85DF
01020BD2	BBAF
01020BDE	85E0
01020C5C	86BD
01020C69	BEFD
01020C8B	F5FE
01020C8E	B7CD
01020CC5	CECA
01020CF7	85ED
01020D01	85E9
01020D1F	DFE3
01020D2A	E0A7
01020D2E	C5E7
01020D2F	86C3
01020D40	CAA6
01020D42	DFF8
01020D43	8691
01020D52	DFFD
01020D70	DFD8
01020D72	DBC1
01020D75	8686
01020DBA	DFEC
01020DC3	E0B2
01020DD5	B4B5
01020DF8	E0AF
01020E5E	86B1
01020ED4	E0E5
01020EDB	E0D5
01020EE9	D541
01020EEF	DFEE
01020EF6	86F9
01020F15	DFC2
01020F6C	C4D8
01020F7A	87A8
01020F7F	DFC9
01020F85	D2AA
01020F96	C6F7
01020FC8	E0B1
01020FCC	86DA
01020FCD	8688
01021012	8745
01021050	E0C9
01021090	87D4
01021096	8783
010210A2	86FD
0102113A	E0D1
0102115B	87C1
01021170	E0D0
0102117F	8764
010211BE	83D7
010211C3	D2D8
010211CA	C6D4
010211E1	C4BF
010211EA	BDD1
01021215	C8A6
0102122D	D3FC
01021239	E0F3
01021243	DBDE
01021248	D4DA
0102125B	DBD9
0102125D	BBF9
0102125F	D7B3
0102126C	DBE6
010212AE	D4AC
010212BA	D1F3
010212DD	8889
01021331	89A5
01021369	DBE5
010213A9	B9A1
010213B0	DCAF
010213B1	888A
010213B2	C55F
010213B9	88B2
01021447	88F1
0102144A	88CA
0102144F	89BB
0102145F	CED1
01021462	DCA6
0102148B	89A7
010214A3	8983
010214B0	8997
01021501	C0DD
0102151B	C8C9
01021584	CDE2
01021589	C2D1
0102158A	D9ED
0102159F	F3A4
010215B7	E2B9
010215CC	E061
010215D5	D2E0
010215DA	C4D6
010215DD	D2C4
010215E0	C4DA
010215E8	8A44
01021608	BFDE
0102162B	CEC8
01021637	CCD7
0102165C	B6E1
0102168C	BDE1
01021690	8A5D
010216A7	E5FE
010216AE	8A65
010216AF	8BAD
010216B6	CDFD
010216BA	8A69
010216BC	8AB8
010216BE	E6AD
010216D0	8A6F
010216E2	8B46
01021704	8B72
01021709	8B76
0102171D	8A9F
01021729	8AA0
01021734	8A7B
01021736	8AA3
0102174A	8AC0
01021769	D1FD
01021791	8ADD
010217A2	8AC4
010217A4	8BA7
010217A8	8ABB
010217E6	C4C8
010217F1	8AAE
01021808	8C43
01021810	E6BF
01021814	8B60
0102181B	8A66
0102181C	E6C6
0102181D	8BA5
0102184D	8B9F
0102184F	8ABE
01021853	8BC1
01021879	8BB1
0102187F	B5D5
01021883	8BB8
01021889	8BE7
01021893	E6B4
0102189A	8BA0
010218B2	8BA8
010218B4	8BBB
010218C3	8B79
010218C6	E5FC
010218CC	8BB6
010218EB	8BBA
010218F0	E6CD
010218F1	8BD6
010218F8	8C40
01021900	8A75
0102191A	E6CE
01021925	83A9
0102192F	E6D0
0102193E	CBEF
0102193F	BFD7
01021946	BAC3
01021947	D8C3
0102195B	CAE2
0102195C	D7D6
01021966	8C54
0102197D	8C56
0102198C	8C59
01021997	C8E6
010219CB	C6B6
010219EA	D5AC
010219EB	E5B3
010219F1	BAA6
01021A09	BAC1
01021A1A	D4A9
01021A1C	BCC5
01021A48	C3E7
01021A7A	8C8C
01021B2A	C4CD
01021B3D	D8E2
01021B5D	C3D7
01021B5E	BCE2
01021B74	CFB6
01021B90	D0A1
01021C29	C1BC
01021C2C	C9ED
01021C38	E5EC
01021C46	CAF4
01021C52	B5EE
01021C91	CABA
01021CA0	C6C6
01021CA9	C6A8
01021CEC	C2AE
01021D41	CEA3
01021D7C	CCBF
01021D8F	E1C8
01021D93	D4C0
01021E20	B2BA
01021E35	E1BF
01021EA1	D3AF
01021F14	E1C7
01021F9C	BBF4
01021FC1	CEA1
01021FF7	E7DF
0102200E	BAD3
01022012	BCBA
0102201A	B9A4
01022053	F5B9
01022074	C04D
01022087	B5DB
01022091	CAC3
010220B4	D6C4
010220C1	B8F8
010220EA	8EBA
010220F7	C4B2
01022116	D2EC
0102216D	D273
010221D7	CFC3
010221EB	D283
010221EF	B8AE
0102220E	B9E3
01022256	C2B9
01022259	CAFC
010222BB	C1C9
010222DC	CF4B
01022313	C0AA
01022338	DEC4
01022342	B1C7
01022345	DBBC
0102234E	DABE
01022357	D1D4
0102235C	D7F0
0102236E	CED7
01022376	C2CE
01022381	CEE4
010223AE	D8B5
010223BA	CFD2
010223D8	F4E0
010223F1	E5F4
01022405	C8F5
01022413	EFCF
01022495	D6EE
0102249B	B1E4
010224A5	814C
010224C9	B7B5
010224CA	E1E3
